Date (-05:00),Irradiance Reference (Link) (W/m²),Meter AC Power (W)
8/3/2022 8:25,412.7647,9772600
8/3/2022 8:30,412.4217,11839400
8/3/2022 8:35,407.9927,13233300
8/3/2022 8:40,377.9203,13281000
8/3/2022 8:45,362.6803,12693900
8/3/2022 8:50,447.5893,14878600
8/3/2022 8:55,437.4347,14448200
8/3/2022 9:00,377.8557,12420800
8/3/2022 9:05,329.685,11161400
8/3/2022 9:10,460.3027,15579600
8/3/2022 9:15,502.4807,16987600
8/3/2022 9:20,470.4917,15472900
8/3/2022 9:25,502.2033,16839100
8/3/2022 9:30,525.3367,17708800
8/3/2022 9:35,496.6407,17131800
8/3/2022 9:40,502.727,16861300
8/3/2022 9:45,551.446,18612600
8/3/2022 9:50,592.263,19961700
8/3/2022 9:55,605.3877,20347300
8/3/2022 10:00,609.7133,20651900
8/3/2022 10:05,640.255,21509900
8/3/2022 10:10,579.8407,18927200
8/3/2022 10:15,572.6527,19907800
8/3/2022 10:20,485.5497,18599300
8/3/2022 10:25,550.4733,20285500
8/3/2022 10:30,505.1233,20306000
8/3/2022 10:35,502.7213,15721000
8/3/2022 10:40,536.786,16350000
8/3/2022 10:45,711.6443,20278900
8/3/2022 10:50,758.539,25467900
8/3/2022 10:55,788.301,25055600
8/3/2022 11:00,783.338,26029500
8/3/2022 11:05,796.7433,26880700
8/3/2022 11:10,862.4507,28145000
8/3/2022 11:15,797.003,24938500
8/3/2022 11:20,733.581,22235300
8/3/2022 11:25,836.658,26065600
8/3/2022 11:30,862.1933,28489500
8/3/2022 11:35,780.5407,26256900
8/3/2022 11:40,675.62,24832700
8/3/2022 11:45,902.67,28860900
8/3/2022 11:50,912.4747,28871400
8/3/2022 11:55,913.625,28907500
8/3/2022 12:00,909.8197,29014700
8/3/2022 12:05,933.3063,29145700
8/3/2022 12:10,945.7947,29191700
8/3/2022 12:15,949.513,29376200
8/3/2022 12:20,977.2153,28877800
8/3/2022 12:25,972.1953,28803500
8/3/2022 12:30,954.0037,28959800
8/3/2022 12:35,975.3837,29081200
8/3/2022 12:40,974.1567,29155900
8/3/2022 12:45,975.438,29076200
8/3/2022 12:50,980.4127,29055000
8/3/2022 12:55,990.427,29037100
8/3/2022 13:00,993.9773,29112000
8/3/2022 13:05,997.8003,29327600
8/3/2022 13:10,1002.0577,29105800
8/3/2022 13:15,1007.7633,29049400
8/3/2022 13:20,1010.8733,29225600
8/3/2022 13:25,1011.0667,29213100
8/3/2022 13:30,1013.49,29016600
8/3/2022 13:35,1015.6767,29131800
8/3/2022 13:40,1016.1233,29205000
8/3/2022 13:45,1022.1267,29044300
8/3/2022 13:50,1019.4367,29034300
8/3/2022 13:55,1019.7867,29066500
8/3/2022 14:00,1017.7667,28957900
8/3/2022 14:05,1020.2167,28894500
8/3/2022 14:10,1016.1067,28908400
8/3/2022 14:15,1016.2567,29040700
8/3/2022 14:20,1016.09,28953800
8/3/2022 14:25,1012.6167,28955400
8/3/2022 14:30,1009.6733,29030900
8/3/2022 14:35,978.3963,29006700
8/3/2022 14:40,981.3967,28824300
8/3/2022 14:45,980.4063,28834200
8/3/2022 14:50,968.8867,28811900
8/3/2022 14:55,946.1853,28785500
8/3/2022 15:00,958.8783,28924600
8/3/2022 15:05,919.4873,27921500
8/3/2022 15:10,968.1427,28792600
8/3/2022 15:15,940.555,28547800
8/3/2022 15:20,805.7383,26990600
8/3/2022 15:25,684.354,20991500
8/3/2022 15:30,797.1103,26159400
8/3/2022 15:35,821.1693,26794200
8/3/2022 15:40,917.48,28607300
8/3/2022 15:45,953.098,28884300
8/3/2022 15:50,901.0213,25536900
8/3/2022 15:55,881.553,28044000
8/3/2022 16:00,887.5447,28531800
8/3/2022 16:05,729.1817,25321000
8/3/2022 16:10,560.7827,16195500
8/3/2022 16:15,495.4133,16745800
8/3/2022 16:20,545.0013,15127200
8/3/2022 16:25,495.5547,17982800
8/3/2022 16:30,618.321,20128400
8/3/2022 16:35,475.0893,16178800
8/3/2022 16:40,753.7683,24144000
8/3/2022 16:45,556.526,20922100
8/3/2022 16:50,748.2883,25421300
8/3/2022 16:55,581.9553,20373200
8/3/2022 17:00,704.307,20915600
8/3/2022 17:05,140.3043,6257940
8/3/2022 17:10,316.1797,9048380
8/3/2022 17:15,162.5357,7834620
8/3/2022 17:20,663.4263,14682000
8/3/2022 17:25,478.9337,13636400
8/3/2022 17:30,648.131,22018000
8/3/2022 17:35,406.705,12004300
8/3/2022 17:40,375.3987,15664500
